Service_Type,Department,Current_Queue,Available_Staff,Emergency_Cases,Previous_Average_Wait,Day,Hour,Waiting_Time
Hospital,Emergency,24,1,7,50,Saturday,20,58
Government Office,Customer Service,119,7,14,32,Wednesday,19,68
Bank,Emergency,55,9,21,26,Tuesday,13,79
Hospital,Customer Service,56,10,5,19,Tuesday,8,16
Bank,Cardiology,12,5,11,48,Tuesday,8,30
Bank,Emergency,107,4,5,49,Tuesday,12,79
Government Office,Emergency,59,8,19,20,Friday,10,45
Government Office,Loan Department,118,12,9,34,Thursday,20,57
Bank,Cardiology,96,10,22,30,Wednesday,10,71
Hospital,Loan Department,94,5,22,13,Saturday,12,90
Bank,Loan Department,5,2,21,52,Saturday,17,55
Government Office,Emergency,108,13,20,5,Saturday,16,86
Hospital,General,71,12,15,55,Thursday,14,74
Hospital,Emergency,90,9,13,32,Tuesday,12,74
Bank,General,20,10,15,25,Friday,19,29
Hospital,Emergency,104,1,4,27,Tuesday,14,75
Government Office,General,23,10,0,9,Thursday,17,5
Bank,General,8,8,15,59,Tuesday,20,41
Hospital,Loan Department,54,3,0,37,Saturday,19,34
Bank,General,55,11,4,16,Friday,20,18
Government Office,Customer Service,47,12,12,16,Wednesday,17,24
Government Office,Loan Department,119,2,2,27,Tuesday,9,62
Government Office,Loan Department,78,10,1,55,Friday,17,34
Bank,Customer Service,11,4,20,54,Tuesday,16,71
Government Office,Cardiology,93,5,24,40,Tuesday,11,91
Hospital,Loan Department,105,9,23,39,Thursday,17,84
Hospital,Loan Department,117,7,23,27,Friday,9,90
Government Office,General,16,1,22,17,Monday,12,61
Bank,Loan Department,117,14,19,52,Tuesday,8,81
Hospital,Cardiology,90,13,18,53,Monday,16,78
Hospital,Cardiology,82,4,18,51,Thursday,19,84
Bank,Loan Department,73,3,11,29,Friday,12,65
Bank,Cardiology,27,9,6,49,Wednesday,12,38
Government Office,Loan Department,46,10,6,18,Thursday,12,22
Hospital,Customer Service,97,11,10,22,Wednesday,14,71
Government Office,Loan Department,13,10,11,21,Wednesday,19,11
Government Office,Customer Service,31,10,1,9,Monday,9,5
Hospital,Customer Service,41,6,18,12,Tuesday,20,36
Bank,Loan Department,21,7,24,49,Monday,11,49
Bank,Emergency,40,6,18,48,Wednesday,11,45
Bank,Emergency,23,7,2,49,Monday,17,25
Bank,Loan Department,118,12,19,32,Friday,20,78
Government Office,Emergency,5,3,12,32,Monday,14,47
Hospital,General,67,12,16,29,Tuesday,16,58
Bank,Loan Department,62,12,12,36,Monday,13,55
Hospital,Loan Department,65,5,15,58,Thursday,20,71
Hospital,Emergency,22,9,16,18,Friday,16,37
Hospital,Loan Department,58,6,2,20,Saturday,8,27
Bank,Cardiology,100,8,5,16,Thursday,17,45
Government Office,Cardiology,32,5,7,32,Wednesday,15,37
Hospital,Cardiology,54,12,4,45,Thursday,19,31
Government Office,General,68,11,21,21,Saturday,11,51
Hospital,Emergency,96,13,12,50,Tuesday,20,48
Hospital,Loan Department,10,2,18,9,Friday,10,29
Government Office,General,34,2,12,9,Saturday,15,60
Bank,General,37,6,0,22,Tuesday,14,19
Hospital,Cardiology,63,11,16,17,Saturday,13,63
Bank,General,102,9,2,5,Saturday,8,35
Government Office,Loan Department,106,3,20,27,Monday,12,112
Bank,Loan Department,57,5,9,14,Thursday,12,45
Bank,Loan Department,114,1,18,49,Tuesday,16,111
Government Office,Emergency,8,14,0,53,Friday,20,5
Government Office,General,54,12,0,58,Thursday,10,19
Government Office,Emergency,9,14,24,21,Tuesday,19,30
Government Office,Customer Service,79,3,6,42,Saturday,9,62
Bank,Emergency,102,6,17,38,Monday,19,82
Bank,General,67,2,19,42,Monday,10,85
Bank,Cardiology,92,12,22,46,Friday,8,65
Bank,Customer Service,73,2,5,57,Tuesday,15,73
Hospital,Cardiology,81,14,10,47,Monday,9,42
Government Office,Loan Department,27,7,15,35,Thursday,16,52
Bank,Emergency,20,8,3,44,Saturday,18,10
Hospital,Loan Department,31,13,17,55,Wednesday,10,46
Hospital,Loan Department,25,5,17,32,Monday,10,42
Government Office,General,5,5,8,16,Friday,13,27
Government Office,Loan Department,50,2,16,18,Saturday,17,48
Government Office,General,51,9,21,51,Thursday,17,55
Hospital,Cardiology,98,11,15,21,Wednesday,15,76
Government Office,Customer Service,103,13,19,19,Thursday,8,58
Government Office,Emergency,90,14,22,18,Tuesday,15,82
Hospital,Cardiology,60,3,6,7,Wednesday,18,33
Bank,Cardiology,114,11,14,49,Thursday,14,85
Hospital,General,19,9,22,41,Saturday,10,49
Government Office,General,78,7,24,21,Wednesday,19,68
Bank,Customer Service,29,1,12,24,Thursday,19,36
Government Office,Emergency,72,10,2,45,Tuesday,16,42
Bank,Customer Service,38,8,7,53,Saturday,13,47
Government Office,Cardiology,87,10,8,41,Saturday,19,55
Hospital,Customer Service,63,8,12,10,Friday,9,31
Government Office,Cardiology,37,5,21,25,Friday,12,66
Government Office,General,98,11,23,59,Monday,11,81
Bank,Emergency,7,3,7,41,Wednesday,16,41
Bank,Cardiology,83,6,21,53,Monday,11,81
Government Office,General,106,3,24,6,Friday,15,112
Government Office,Emergency,49,12,4,10,Tuesday,10,17
Bank,Emergency,72,3,19,37,Wednesday,17,75
Government Office,Customer Service,94,14,5,41,Wednesday,8,46
Bank,Loan Department,104,13,10,7,Tuesday,18,41
Bank,Cardiology,9,7,9,48,Saturday,17,21
Hospital,Emergency,17,8,1,24,Tuesday,9,6
Hospital,Customer Service,13,11,14,28,Wednesday,8,13
Hospital,General,39,14,16,9,Friday,13,38
Government Office,Loan Department,38,12,2,39,Saturday,16,22
Government Office,Loan Department,44,6,7,15,Saturday,8,23
Hospital,Emergency,89,5,4,23,Wednesday,10,48
Government Office,Emergency,82,10,3,29,Monday,18,31
Government Office,Loan Department,76,7,7,18,Saturday,15,59
Hospital,Cardiology,42,1,22,19,Tuesday,10,54
Bank,Cardiology,70,14,20,44,Thursday,14,75
Government Office,Emergency,55,7,18,10,Tuesday,15,62
Government Office,Cardiology,46,4,14,51,Wednesday,15,74
Government Office,Cardiology,37,4,6,31,Wednesday,20,28
Government Office,Loan Department,105,11,22,37,Wednesday,8,80
Bank,Emergency,90,2,9,9,Tuesday,11,54
Bank,General,17,4,12,28,Wednesday,13,50
Hospital,Customer Service,60,13,7,9,Monday,11,5
Bank,Emergency,6,11,18,55,Saturday,20,30
Bank,Loan Department,40,10,10,31,Thursday,11,22
Government Office,General,108,6,5,12,Friday,17,47
Bank,Customer Service,51,10,13,47,Thursday,14,59
Government Office,Customer Service,93,1,14,44,Monday,9,75
Hospital,Emergency,47,12,11,40,Wednesday,19,28
Government Office,Emergency,55,13,13,44,Tuesday,16,59
Bank,Customer Service,90,11,22,5,Wednesday,16,88
Bank,General,51,9,20,13,Wednesday,12,63
Hospital,Customer Service,56,9,20,30,Thursday,17,49
Government Office,Emergency,94,11,5,6,Saturday,16,38
Hospital,General,86,11,1,31,Friday,14,37
Government Office,Customer Service,55,6,23,29,Saturday,19,63
Hospital,Emergency,56,6,20,28,Saturday,14,79
Hospital,General,26,10,17,25,Tuesday,18,28
Hospital,Customer Service,75,1,19,45,Wednesday,8,80
Bank,Loan Department,67,13,7,53,Monday,19,30
Hospital,General,5,13,22,55,Tuesday,14,51
Bank,General,53,13,15,44,Wednesday,20,40
Bank,Emergency,22,1,13,55,Tuesday,10,57
Hospital,Emergency,117,2,5,55,Saturday,19,64
Bank,Customer Service,5,8,22,43,Monday,11,37
Hospital,Loan Department,114,2,0,27,Saturday,10,61
Bank,Emergency,96,2,6,33,Wednesday,14,83
Hospital,Loan Department,92,7,7,58,Tuesday,10,49
Government Office,Loan Department,115,5,2,55,Wednesday,16,73
Bank,Customer Service,39,8,13,36,Wednesday,9,41
Bank,Emergency,50,11,15,8,Wednesday,15,37
Bank,Cardiology,11,10,6,37,Friday,9,5
Hospital,General,89,3,15,23,Wednesday,14,76
Bank,Emergency,5,5,19,15,Friday,9,41
Government Office,Cardiology,6,3,22,59,Thursday,17,61
Bank,General,98,9,1,57,Monday,13,56
Bank,Emergency,103,4,21,48,Friday,19,98
Bank,General,118,3,16,18,Wednesday,8,82
Government Office,General,44,2,12,29,Thursday,16,59
Government Office,Customer Service,114,4,12,38,Wednesday,18,76
Bank,Customer Service,41,11,5,22,Thursday,14,35
Hospital,Customer Service,42,2,16,41,Friday,16,74
Hospital,General,106,10,11,27,Monday,16,67
Bank,Emergency,44,2,11,49,Monday,18,48
Government Office,Cardiology,57,7,9,49,Tuesday,16,58
Bank,Cardiology,50,2,21,47,Friday,17,78
Bank,Cardiology,55,5,3,55,Wednesday,8,36
Hospital,General,15,4,16,43,Friday,15,51
Bank,Customer Service,103,6,1,59,Monday,15,74
Hospital,Loan Department,60,1,3,51,Saturday,12,64
Hospital,Customer Service,87,3,19,47,Tuesday,11,86
Bank,Loan Department,77,9,7,21,Wednesday,9,31
Government Office,Customer Service,93,13,10,44,Tuesday,8,41
Hospital,Customer Service,118,5,11,48,Friday,10,78
Hospital,Loan Department,98,6,1,16,Monday,10,36
Bank,General,53,13,16,14,Thursday,18,30
Bank,Loan Department,59,1,14,16,Thursday,16,76
Government Office,Customer Service,99,5,16,27,Monday,15,88
Hospital,Cardiology,84,6,7,29,Friday,12,65
Hospital,Loan Department,30,9,12,30,Tuesday,18,31
Government Office,Cardiology,20,7,16,27,Friday,17,27
Government Office,Loan Department,18,5,6,13,Friday,14,41
Government Office,Emergency,52,8,17,27,Tuesday,10,51
Hospital,Customer Service,43,3,17,46,Saturday,11,64
Bank,Emergency,21,14,23,39,Tuesday,14,47
Hospital,Customer Service,41,11,7,30,Wednesday,10,33
Bank,Loan Department,91,12,6,19,Friday,14,50
Hospital,Loan Department,29,13,17,37,Saturday,13,53
Hospital,Loan Department,46,12,1,59,Thursday,20,20
Bank,Emergency,17,13,17,36,Saturday,18,25
Government Office,Emergency,43,14,19,33,Monday,10,35
Hospital,Emergency,112,9,15,48,Wednesday,12,98
Bank,Loan Department,14,14,24,43,Friday,16,60
Government Office,Loan Department,7,13,13,34,Thursday,8,13
Government Office,Customer Service,72,2,4,29,Monday,9,48
Bank,Emergency,19,1,24,28,Thursday,16,73
Bank,Customer Service,16,11,4,41,Monday,11,6
Government Office,General,67,14,23,15,Wednesday,15,60
Bank,Loan Department,102,9,6,56,Monday,20,58
Bank,Cardiology,67,6,20,55,Tuesday,20,70
Hospital,Cardiology,114,10,10,38,Thursday,20,61
Government Office,Customer Service,7,8,5,9,Monday,17,5
Bank,Cardiology,58,7,16,13,Saturday,12,59
Hospital,Loan Department,86,14,16,28,Friday,9,43
Hospital,Loan Department,36,3,5,17,Saturday,10,26
Government Office,Emergency,72,14,4,38,Wednesday,16,32
Hospital,Emergency,109,8,2,32,Tuesday,18,45
Bank,Cardiology,80,10,8,19,Saturday,9,37
Government Office,Emergency,29,5,10,38,Thursday,15,41
Government Office,Customer Service,9,10,17,10,Tuesday,15,27
Bank,General,64,13,4,17,Tuesday,12,31
Bank,Emergency,119,10,2,44,Wednesday,20,58
Government Office,Loan Department,44,11,12,49,Friday,9,37
Bank,Customer Service,96,1,15,45,Saturday,15,108
Hospital,Customer Service,111,13,24,57,Wednesday,20,92
Hospital,Loan Department,64,7,4,47,Saturday,13,61
Government Office,Customer Service,62,9,18,35,Tuesday,20,54
Hospital,Loan Department,57,14,6,35,Tuesday,18,21
Bank,Loan Department,104,2,13,17,Friday,9,71
Hospital,Cardiology,50,11,16,45,Wednesday,20,45
Hospital,Loan Department,108,2,23,49,Thursday,8,102
Bank,Loan Department,78,9,1,32,Thursday,14,46
Hospital,Customer Service,83,14,4,33,Monday,19,25
Bank,Cardiology,118,4,16,16,Tuesday,11,82
Government Office,Emergency,21,10,21,5,Wednesday,13,41
Government Office,Emergency,103,4,11,11,Saturday,18,72
Government Office,Customer Service,15,1,5,51,Friday,20,39
Bank,Loan Department,91,10,1,50,Thursday,17,40
Bank,Customer Service,33,4,16,39,Friday,9,43
Bank,Emergency,33,13,10,56,Tuesday,14,41
Bank,Customer Service,51,14,19,26,Thursday,9,40
Hospital,Loan Department,63,4,5,23,Thursday,12,54
Government Office,General,73,3,0,42,Monday,16,53
Hospital,Cardiology,29,8,11,22,Tuesday,8,21
Hospital,Loan Department,84,11,7,50,Tuesday,19,45
Government Office,General,75,3,11,57,Thursday,9,62
Hospital,Cardiology,64,10,2,24,Saturday,15,35
Bank,Loan Department,21,14,11,24,Wednesday,14,32
Bank,Customer Service,13,6,15,26,Monday,11,22
Bank,General,76,11,12,21,Friday,15,59
Hospital,Customer Service,25,2,17,50,Friday,15,76
Government Office,Cardiology,106,9,7,15,Tuesday,19,51
Bank,Loan Department,55,8,8,21,Monday,13,46
Hospital,Customer Service,90,12,19,37,Thursday,13,74
Hospital,Emergency,44,2,0,6,Tuesday,17,23
Bank,Customer Service,81,4,21,43,Thursday,8,82
Bank,Customer Service,42,7,13,54,Tuesday,9,49
Government Office,Customer Service,71,11,5,13,Friday,20,24
Hospital,Emergency,77,7,8,54,Monday,13,75
Bank,Cardiology,11,11,19,20,Wednesday,18,27
Hospital,General,10,10,21,30,Tuesday,11,30
Bank,Cardiology,110,14,10,22,Friday,19,47
Hospital,Emergency,16,7,11,17,Friday,13,46
Government Office,Loan Department,59,14,3,49,Friday,10,19
Bank,Cardiology,97,7,20,59,Thursday,15,104
Hospital,Loan Department,7,12,9,55,Thursday,18,5
Government Office,Customer Service,65,13,21,19,Saturday,10,46
Hospital,Customer Service,35,10,23,24,Monday,12,52
Bank,Loan Department,8,12,11,24,Wednesday,12,38
Hospital,General,100,9,3,57,Monday,10,54
Bank,Customer Service,104,2,14,38,Tuesday,9,84
Hospital,Customer Service,119,10,21,16,Saturday,10,83
Bank,Emergency,113,2,7,25,Monday,10,65
Hospital,Cardiology,104,14,22,46,Friday,15,91
Government Office,Cardiology,18,14,1,59,Saturday,19,5
Hospital,Customer Service,66,6,14,18,Friday,16,63
Government Office,Cardiology,107,9,19,6,Saturday,15,83
Bank,Loan Department,32,2,2,41,Wednesday,16,40
Bank,General,69,8,11,40,Saturday,12,64
Bank,Loan Department,14,3,21,18,Friday,18,47
Bank,Emergency,97,10,11,34,Wednesday,17,55
Hospital,Cardiology,47,12,0,58,Tuesday,15,27
Bank,Emergency,32,9,10,41,Friday,11,31
Hospital,General,117,8,11,32,Thursday,8,57
Bank,Customer Service,112,11,19,54,Monday,13,90
Government Office,Customer Service,63,5,0,53,Wednesday,12,55
Hospital,General,82,12,9,24,Friday,10,42
Hospital,General,115,11,17,27,Monday,15,87
Government Office,Cardiology,42,4,22,49,Wednesday,19,64
Government Office,Emergency,5,7,7,33,Saturday,12,30
Government Office,Cardiology,9,6,14,38,Wednesday,13,45
Government Office,Cardiology,21,10,7,51,Monday,9,20
Hospital,Customer Service,117,12,7,29,Wednesday,15,72
Hospital,General,35,14,20,52,Wednesday,10,48
Government Office,Emergency,109,10,1,54,Wednesday,12,57
Hospital,General,45,9,15,17,Friday,8,40
Government Office,Customer Service,81,9,10,8,Wednesday,16,60
Government Office,Emergency,106,3,5,38,Friday,11,67
Government Office,Customer Service,17,9,22,23,Saturday,9,36
Bank,General,75,9,20,19,Saturday,13,78
Bank,General,80,10,6,19,Tuesday,8,29
Hospital,Emergency,37,1,16,39,Saturday,16,80
Government Office,Cardiology,106,10,10,39,Saturday,19,62
Hospital,Loan Department,50,9,2,25,Tuesday,9,12
Government Office,Emergency,76,2,5,32,Tuesday,17,43
Government Office,Loan Department,83,12,3,19,Friday,12,32
Hospital,Cardiology,52,7,5,50,Monday,18,35
Hospital,Cardiology,55,4,20,17,Tuesday,18,61
Hospital,General,23,2,13,8,Friday,13,43
Government Office,Customer Service,33,12,2,12,Friday,18,5
Bank,Emergency,40,14,17,6,Wednesday,17,20
Bank,Customer Service,98,11,6,35,Friday,16,52
Bank,Cardiology,78,7,12,35,Wednesday,19,52
Bank,Loan Department,65,10,23,40,Thursday,17,66
Government Office,Loan Department,72,6,6,58,Wednesday,11,49
Government Office,Loan Department,51,11,12,59,Tuesday,17,44
Bank,Loan Department,25,6,8,30,Thursday,13,42
Government Office,Emergency,46,8,23,20,Friday,17,47
Hospital,Cardiology,30,11,4,8,Saturday,8,6
Government Office,Loan Department,43,10,24,22,Monday,19,47
Bank,Loan Department,40,10,0,59,Saturday,10,13
Bank,Loan Department,112,2,0,59,Thursday,10,69
Hospital,General,85,6,15,41,Friday,12,89
Government Office,Customer Service,14,9,13,17,Thursday,18,26
Government Office,Cardiology,61,14,24,6,Saturday,20,48
Government Office,General,71,10,21,43,Monday,9,57
Bank,Customer Service,117,11,6,28,Saturday,16,69
Government Office,Loan Department,113,14,3,44,Thursday,14,67
Bank,Cardiology,101,4,2,13,Friday,12,55
Bank,Cardiology,107,4,12,53,Thursday,16,92
Government Office,Cardiology,6,12,4,48,Tuesday,19,5
Government Office,General,76,2,2,58,Friday,13,61
Hospital,General,62,3,21,10,Friday,19,62
Bank,Customer Service,85,3,1,27,Wednesday,13,56
Bank,Emergency,12,6,11,40,Tuesday,11,28
Hospital,Customer Service,59,10,24,59,Wednesday,16,87
Government Office,Emergency,21,12,7,24,Friday,19,5
Hospital,Loan Department,96,3,7,58,Friday,14,83
Bank,Loan Department,88,8,23,48,Thursday,12,101
Hospital,General,74,6,17,12,Wednesday,11,50
Hospital,Customer Service,36,1,20,20,Tuesday,14,66
Government Office,Customer Service,18,4,0,27,Thursday,20,10
Government Office,Emergency,113,2,8,25,Saturday,9,64
Government Office,General,79,3,19,27,Tuesday,8,70
Hospital,Customer Service,72,2,22,10,Friday,17,71
Hospital,Loan Department,64,5,19,46,Wednesday,13,88
Hospital,Cardiology,115,1,9,42,Wednesday,19,78
Hospital,Customer Service,110,14,13,10,Saturday,15,69
Government Office,General,84,7,19,18,Monday,10,63
Hospital,Cardiology,95,2,2,22,Tuesday,9,46
Government Office,Cardiology,86,10,24,6,Thursday,11,64
Hospital,Customer Service,114,13,19,7,Wednesday,13,81
Hospital,Cardiology,45,6,24,17,Monday,10,54
Bank,General,72,9,14,8,Monday,9,41
Government Office,Cardiology,64,12,12,35,Tuesday,20,24
Bank,General,67,6,10,6,Wednesday,19,40
Government Office,General,27,3,18,9,Monday,19,41
Hospital,Customer Service,15,2,23,19,Monday,9,58
Hospital,Emergency,91,3,8,39,Friday,16,74
Bank,General,101,4,3,43,Monday,19,55
Hospital,Cardiology,21,5,6,56,Friday,15,47
Hospital,General,107,2,4,56,Tuesday,13,81
Government Office,Emergency,103,7,21,18,Tuesday,20,74
Government Office,General,59,2,20,58,Monday,12,88
Government Office,Cardiology,83,5,9,27,Monday,13,69
Government Office,Loan Department,17,5,17,49,Friday,8,40
Government Office,General,57,2,4,49,Monday,12,60
Bank,Cardiology,64,11,20,56,Saturday,8,60
Bank,Loan Department,30,14,3,38,Tuesday,14,25
Government Office,Emergency,103,9,19,33,Tuesday,15,85
Bank,Customer Service,46,5,9,17,Thursday,13,50
Bank,Cardiology,64,13,0,14,Thursday,9,9
Bank,Loan Department,62,12,7,25,Thursday,9,25
Government Office,Customer Service,63,6,7,53,Saturday,15,69
Government Office,Cardiology,64,7,23,49,Saturday,8,76
Bank,Cardiology,91,5,7,17,Tuesday,8,46
Government Office,Loan Department,91,11,0,49,Thursday,15,50
Hospital,Customer Service,9,4,20,44,Monday,8,48
Hospital,Customer Service,35,14,3,15,Tuesday,17,5
Hospital,Cardiology,9,5,21,36,Tuesday,17,50
Hospital,General,68,10,5,51,Monday,15,57
Bank,Emergency,77,2,14,54,Thursday,16,86
Hospital,Emergency,53,4,3,18,Saturday,10,32
Hospital,Customer Service,25,4,11,31,Friday,17,34
Bank,General,6,6,12,57,Thursday,15,47
Hospital,General,102,11,9,19,Tuesday,19,51
Bank,General,44,2,22,13,Thursday,8,55
Government Office,General,93,2,21,56,Saturday,19,85
Government Office,Emergency,89,12,18,50,Monday,11,60
Government Office,General,117,12,8,51,Tuesday,14,82
Bank,Loan Department,25,13,20,12,Friday,9,27
Bank,General,112,11,21,26,Friday,14,98
Hospital,Loan Department,93,6,12,22,Saturday,18,61
Bank,Cardiology,31,2,14,55,Monday,11,51
Bank,General,92,12,12,26,Saturday,14,75
Bank,Customer Service,7,6,18,27,Saturday,15,53
Government Office,Emergency,34,7,11,51,Thursday,20,38
Bank,Customer Service,110,10,15,12,Tuesday,15,81
Bank,Loan Department,112,5,2,5,Monday,8,41
Government Office,Emergency,102,11,24,14,Saturday,17,69
Bank,Cardiology,50,7,1,45,Wednesday,12,44
Hospital,General,90,10,21,16,Monday,11,53
Government Office,Customer Service,82,14,24,38,Saturday,8,69
Government Office,General,99,7,5,23,Tuesday,10,53
Government Office,Loan Department,62,4,14,8,Wednesday,12,66
Bank,Emergency,30,5,5,25,Tuesday,10,23
Bank,Cardiology,108,7,20,14,Thursday,13,83
Government Office,Emergency,49,4,16,59,Friday,16,85
Hospital,Emergency,8,13,13,7,Friday,14,19
Government Office,Cardiology,8,8,23,38,Thursday,14,54
Government Office,Customer Service,23,12,18,53,Thursday,9,32
Hospital,General,113,12,5,57,Saturday,15,73
Government Office,Cardiology,68,3,15,49,Monday,11,67
Government Office,Customer Service,101,2,19,53,Friday,14,105
Hospital,Emergency,96,11,14,15,Saturday,18,47
Bank,Emergency,21,6,3,24,Saturday,8,17
Hospital,Emergency,19,6,14,18,Thursday,18,32
Hospital,Loan Department,20,5,24,56,Friday,17,66
Government Office,Emergency,14,2,2,17,Wednesday,20,15
Bank,Customer Service,113,6,16,49,Saturday,13,108
Bank,General,23,10,2,50,Tuesday,10,9
Bank,Emergency,88,1,20,14,Saturday,12,87
Bank,Customer Service,104,6,3,43,Thursday,12,69
Hospital,General,28,9,3,25,Monday,11,5
Government Office,General,112,10,21,32,Monday,15,90
Bank,Emergency,14,6,9,29,Monday,15,31
Bank,Loan Department,74,12,8,49,Saturday,20,46
Hospital,Customer Service,72,2,0,31,Thursday,12,64
Hospital,Loan Department,74,2,23,15,Monday,14,91
Hospital,Emergency,25,10,11,18,Tuesday,14,35
Government Office,Cardiology,41,10,20,22,Friday,16,59
Bank,Emergency,92,1,18,55,Thursday,12,103
Government Office,Loan Department,89,12,24,45,Tuesday,16,86
Government Office,Loan Department,37,1,23,38,Thursday,13,84
Hospital,Customer Service,62,11,8,43,Tuesday,19,37
Bank,General,114,6,1,5,Friday,13,67
Government Office,Customer Service,89,5,1,26,Saturday,17,43
Government Office,Emergency,20,3,6,26,Friday,9,27
Government Office,Customer Service,92,8,5,14,Friday,19,29
Government Office,Emergency,24,10,3,50,Saturday,12,29
Hospital,Loan Department,90,8,7,25,Monday,11,41
Government Office,Cardiology,109,8,16,6,Friday,18,66
Government Office,Emergency,7,8,11,37,Friday,16,41
Bank,General,56,7,24,54,Thursday,14,86
Bank,Customer Service,23,5,18,15,Thursday,18,39
Hospital,General,96,9,3,41,Wednesday,15,53
Bank,Loan Department,76,7,8,51,Wednesday,12,54
Bank,Loan Department,16,2,6,20,Thursday,13,41
Government Office,Cardiology,113,3,17,47,Friday,10,89
Hospital,General,36,12,15,47,Saturday,12,48
Government Office,General,8,14,5,50,Saturday,12,17
Bank,Emergency,67,13,22,57,Saturday,8,71
Government Office,Cardiology,34,13,1,8,Monday,12,5
Government Office,Customer Service,29,3,0,8,Thursday,12,27
Bank,Emergency,24,2,4,39,Friday,16,44
Government Office,General,106,2,5,23,Wednesday,11,59
Government Office,Customer Service,48,9,10,6,Monday,19,23
Government Office,Customer Service,92,2,21,7,Monday,12,99
Hospital,Cardiology,96,14,15,25,Thursday,19,48
Government Office,Loan Department,45,3,14,22,Saturday,9,55
Bank,Customer Service,79,9,22,52,Thursday,17,83
Bank,Loan Department,15,14,14,31,Friday,19,17
Bank,Cardiology,37,4,15,38,Monday,10,55
Government Office,Loan Department,51,7,5,13,Wednesday,19,17
Bank,General,5,8,22,27,Tuesday,11,34
Hospital,Emergency,29,6,14,25,Wednesday,17,32
Bank,Cardiology,61,5,20,50,Tuesday,10,73
Bank,General,43,9,2,17,Monday,8,12
Bank,Cardiology,119,1,5,31,Friday,9,67
Hospital,Cardiology,50,6,13,40,Friday,15,64
Government Office,Loan Department,76,14,2,23,Thursday,12,30
Hospital,Loan Department,18,10,5,27,Thursday,15,21
